Nodes - 34529 | Edges - 35619 | Average Degree - 2.0631353355150743
Nodes - 15125 | Edges - 21722 | Average Degree - 2.8723305785123965
Nodes - 23321 | Edges - 33665 | Average Degree - 2.887097465803353
Nodes - 1096 | Edges - 1655 | Average Degree - 3.02007299270073
Nodes - 7553 | Edges - 7647 | Average Degree - 2.0248907718787237
Nodes - 10393 | Edges - 15809 | Average Degree - 3.042239969210045
Nodes - 20203 | Edges - 30267 | Average Degree - 2.9962876800475176
Nodes - 249 | Edges - 249 | Average Degree - 2.0
Nodes - 0 | Edges - 0 | Average Degree - 0.00 | Max Degree - 0
Nodes - 2192 | Edges - 3209 | Average Degree - 2.927919708029197
Nodes - 2026 | Edges - 2978 | Average Degree - 2.9397828232971372
Nodes - 59 | Edges - 62 | Average Degree - 2.1016949152542375
Nodes - 9760 | Edges - 9651 | Average Degree - 1.9776639344262295
Nodes - 62017 | Edges - 91197 | Average Degree - 2.9410322975958203
Nodes - 81814 | Edges - 121038 | Average Degree - 2.9588578971814115
Nodes - 166 | Edges - 165 | Average Degree - 1.9879518072289157
Nodes - 10494 | Edges - 10318 | Average Degree - 1.9664570230607967
Nodes - 37012 | Edges - 52361 | Average Degree - 2.8294066789149466
Nodes - 73172 | Edges - 106167 | Average Degree - 2.9018477013065107
Nodes - 1588 | Edges - 1964 | Average Degree - 2.473551637279597
Nodes - 13980 | Edges - 13988 | Average Degree - 2.0011444921316164
Nodes - 15822 | Edges - 20451 | Average Degree - 2.585134622677285
Nodes - 30746 | Edges - 41916 | Average Degree - 2.726598581929357
Nodes - 276 | Edges - 369 | Average Degree - 2.6739130434782608
Nodes - 3663 | Edges - 3626 | Average Degree - 1.97979797979798
Nodes - 28462 | Edges - 45979 | Average Degree - 3.230904363713021
Nodes - 47828 | Edges - 78391 | Average Degree - 3.2780379693903154
Nodes - 20 | Edges - 21 | Average Degree - 2.1
Nodes - 248 | Edges - 231 | Average Degree - 1.8629032258064515
Nodes - 138388 | Edges - 188637 | Average Degree - 2.726204584212504
Nodes - 140042 | Edges - 191268 | Average Degree - 2.731580525842247
Nodes - 58 | Edges - 54 | Average Degree - 1.8620689655172413
Nodes - 14577 | Edges - 14428 | Average Degree - 1.9795568361116829
Nodes - 71091 | Edges - 101692 | Average Degree - 2.8608965973189293
Nodes - 89543 | Edges - 128757 | Average Degree - 2.8758696938900865
Nodes - 173 | Edges - 221 | Average Degree - 2.554913294797688
Nodes - 62398 | Edges - 60043 | Average Degree - 1.924516811436264
Nodes - 179782 | Edges - 219917 | Average Degree - 2.446485187616113
Nodes - 270659 | Edges - 351824 | Average Degree - 2.5997583675399674
Nodes - 2988 | Edges - 3535 | Average Degree - 2.3661311914323964
Nodes - 3871 | Edges - 3777 | Average Degree - 1.951433738052183
Nodes - 5671 | Edges - 9379 | Average Degree - 3.3077058719802506
Nodes - 13326 | Edges - 21447 | Average Degree - 3.2188203511931563
Nodes - 349 | Edges - 436 | Average Degree - 2.498567335243553
Nodes - 5218 | Edges - 5278 | Average Degree - 2.0229973169796858
Nodes - 95375 | Edges - 140684 | Average Degree - 2.9501231979030145
Nodes - 108033 | Edges - 158425 | Average Degree - 2.932900132366962
Nodes - 370 | Edges - 364 | Average Degree - 1.9675675675675677
Nodes - 35631 | Edges - 35979 | Average Degree - 2.0195335522438325
Nodes - 73688 | Edges - 102139 | Average Degree - 2.772201715340354
Nodes - 111363 | Edges - 157075 | Average Degree - 2.820954895252463
Nodes - 105 | Edges - 138 | Average Degree - 2.6285714285714286
Nodes - 24252 | Edges - 24325 | Average Degree - 2.0060201220517895
Nodes - 35025 | Edges - 49062 | Average Degree - 2.801541755888651
Nodes - 50878 | Edges - 72958 | Average Degree - 2.8679586461731987
Nodes - 230 | Edges - 340 | Average Degree - 2.9565217391304346
